,Topics,Alpha,Beta,Chunks,Coherence
114,4,0.15,0.7499999999999999,100.0,
115,4,0.15,symmetric,20.0,
116,4,0.15,symmetric,40.0,
117,4,0.15,symmetric,60.0,
118,4,0.15,symmetric,80.0,
119,4,0.15,symmetric,100.0,
120,4,0.44999999999999996,0.15,20.0,
121,4,0.44999999999999996,0.15,40.0,
122,4,0.44999999999999996,0.15,60.0,
123,4,0.44999999999999996,0.15,80.0,
124,4,0.44999999999999996,0.15,100.0,
125,4,0.44999999999999996,0.44999999999999996,20.0,
126,4,0.44999999999999996,0.44999999999999996,40.0,
127,4,0.44999999999999996,0.44999999999999996,60.0,
128,4,0.44999999999999996,0.44999999999999996,80.0,
129,4,0.44999999999999996,0.44999999999999996,100.0,
130,4,0.44999999999999996,0.7499999999999999,20.0,
131,4,0.44999999999999996,0.7499999999999999,40.0,0.33019659323532236
132,4,0.44999999999999996,0.7499999999999999,60.0,
133,4,0.44999999999999996,0.7499999999999999,80.0,
134,4,0.44999999999999996,0.7499999999999999,100.0,
135,4,0.44999999999999996,symmetric,20.0,
136,4,0.44999999999999996,symmetric,40.0,
137,4,0.44999999999999996,symmetric,60.0,
138,4,0.44999999999999996,symmetric,80.0,
139,4,0.44999999999999996,symmetric,100.0,
140,4,0.7499999999999999,0.15,20.0,
141,4,0.7499999999999999,0.15,40.0,
142,4,0.7499999999999999,0.15,60.0,
143,4,0.7499999999999999,0.15,80.0,
144,4,0.7499999999999999,0.15,100.0,
145,4,0.7499999999999999,0.44999999999999996,20.0,
146,4,0.7499999999999999,0.44999999999999996,40.0,
147,4,0.7499999999999999,0.44999999999999996,60.0,
148,4,0.7499999999999999,0.44999999999999996,80.0,
149,4,0.7499999999999999,0.44999999999999996,100.0,
150,4,0.7499999999999999,0.7499999999999999,20.0,
151,4,0.7499999999999999,0.7499999999999999,40.0,
152,4,0.7499999999999999,0.7499999999999999,60.0,
153,4,0.7499999999999999,0.7499999999999999,80.0,
154,4,0.7499999999999999,0.7499999999999999,100.0,
155,4,0.7499999999999999,symmetric,20.0,
156,4,0.7499999999999999,symmetric,40.0,
157,4,0.7499999999999999,symmetric,60.0,
158,4,0.7499999999999999,symmetric,80.0,0.32960050355933107
159,4,0.7499999999999999,symmetric,100.0,
160,4,symmetric,0.15,20.0,
161,4,symmetric,0.15,40.0,
162,4,symmetric,0.15,60.0,
163,4,symmetric,0.15,80.0,
164,4,symmetric,0.15,100.0,
165,4,symmetric,0.44999999999999996,20.0,
166,4,symmetric,0.44999999999999996,40.0,
167,4,symmetric,0.44999999999999996,60.0,
168,4,symmetric,0.44999999999999996,80.0,
169,4,symmetric,0.44999999999999996,100.0,
