,Topics,Alpha,Beta,Chunks,Coherence
47,7,0.7499999999999999,0.44999999999999996,60.0,0.4208550757985977
48,7,0.7499999999999999,0.44999999999999996,80.0,0.4216003306148494
49,7,0.7499999999999999,0.44999999999999996,100.0,0.3271591784698639
50,7,0.7499999999999999,0.7499999999999999,20.0,0.5009668534731799
51,7,0.7499999999999999,0.7499999999999999,40.0,0.40407048042042987
52,7,0.7499999999999999,0.7499999999999999,60.0,0.393327134008668
53,7,0.7499999999999999,0.7499999999999999,80.0,0.4163613804758608
54,7,0.7499999999999999,0.7499999999999999,100.0,0.3682636416467449
55,7,0.7499999999999999,symmetric,20.0,0.3876130301770826
56,7,0.7499999999999999,symmetric,40.0,0.4166483433767105
57,7,0.7499999999999999,symmetric,60.0,0.4065316998983541
58,7,0.7499999999999999,symmetric,80.0,0.4185906228132845
59,7,0.7499999999999999,symmetric,100.0,0.32418007563869583
60,7,symmetric,0.15,20.0,0.3455370176682036
61,7,symmetric,0.15,40.0,0.37485508050947186
62,7,symmetric,0.15,60.0,0.38566915767517035
63,7,symmetric,0.15,80.0,0.39733907530472606
64,7,symmetric,0.15,100.0,0.3171288405636434
65,7,symmetric,0.44999999999999996,20.0,0.4073469096701739
66,7,symmetric,0.44999999999999996,40.0,0.4055541281977521
67,7,symmetric,0.44999999999999996,60.0,0.4310917426569986
68,7,symmetric,0.44999999999999996,80.0,0.41379688668532655
69,7,symmetric,0.44999999999999996,100.0,0.3851171297404858
70,7,symmetric,0.7499999999999999,20.0,0.38482600105366893
71,7,symmetric,0.7499999999999999,40.0,0.3988890873892928
72,7,symmetric,0.7499999999999999,60.0,0.3937553785652084
73,7,symmetric,0.7499999999999999,80.0,0.4265720462465441
74,7,symmetric,0.7499999999999999,100.0,0.4642924341319478
75,7,symmetric,symmetric,20.0,0.3559444262902828
76,7,symmetric,symmetric,40.0,0.3766681998821734
77,7,symmetric,symmetric,60.0,0.3767041697868814
78,7,symmetric,symmetric,80.0,0.3839115928429308
79,7,symmetric,symmetric,100.0,0.30289698677545746
80,7,asymmetric,0.15,20.0,0.35717619904106396
81,7,asymmetric,0.15,40.0,0.40006507497469546
82,7,asymmetric,0.15,60.0,0.379540663666988
83,7,asymmetric,0.15,80.0,0.4099777789374607
84,7,asymmetric,0.15,100.0,0.3593077883242423
85,7,asymmetric,0.44999999999999996,20.0,0.3968918897234935
86,7,asymmetric,0.44999999999999996,40.0,0.46958842598112166
87,7,asymmetric,0.44999999999999996,60.0,0.38658709355920573
88,7,asymmetric,0.44999999999999996,80.0,0.4458548319843036
89,7,asymmetric,0.44999999999999996,100.0,0.32357343765176566
90,7,asymmetric,0.7499999999999999,20.0,0.4114431215706826
91,7,asymmetric,0.7499999999999999,40.0,0.37575402042372624
92,7,asymmetric,0.7499999999999999,60.0,0.4494973220444642
93,7,asymmetric,0.7499999999999999,80.0,0.37173167047682065
94,7,asymmetric,0.7499999999999999,100.0,0.47368080332408297
95,7,asymmetric,symmetric,20.0,0.3592354607815476
96,7,asymmetric,symmetric,40.0,0.3887156662609235
97,7,asymmetric,symmetric,60.0,0.3845670952285394
98,7,asymmetric,symmetric,80.0,0.40278785767891506
99,7,asymmetric,symmetric,100.0,0.3720039947403819
100,8,0.15,0.15,20.0,0.36006842457567234
101,8,0.15,0.15,40.0,0.348568819587057
102,8,0.15,0.15,60.0,0.379795167941521
103,8,0.15,0.15,80.0,0.44925052462432447
104,8,0.15,0.15,100.0,0.3728829880827494
105,8,0.15,0.44999999999999996,20.0,0.4196534993798754
106,8,0.15,0.44999999999999996,40.0,0.4246724761676357
107,8,0.15,0.44999999999999996,60.0,0.43473213849586095
108,8,0.15,0.44999999999999996,80.0,0.42633142944040986
109,8,0.15,0.44999999999999996,100.0,0.3823173192800623
110,8,0.15,0.7499999999999999,20.0,0.40908132438782285
111,8,0.15,0.7499999999999999,40.0,0.4030031148857011
112,8,0.15,0.7499999999999999,60.0,0.38497853430922546
113,8,0.15,0.7499999999999999,80.0,0.4160562046630226
114,8,0.15,0.7499999999999999,100.0,0.40266896516916345
115,8,0.15,symmetric,20.0,0.36446702683487575
116,8,0.15,symmetric,40.0,0.33659378887332925
117,8,0.15,symmetric,60.0,0.3671939925773985
118,8,0.15,symmetric,80.0,0.42396865172601317
119,8,0.15,symmetric,100.0,0.3738408483650824
120,8,0.44999999999999996,0.15,20.0,0.40148933706188733
121,8,0.44999999999999996,0.15,40.0,0.3690987023764663
122,8,0.44999999999999996,0.15,60.0,0.38395533244704744
123,8,0.44999999999999996,0.15,80.0,0.36081284118539897
124,8,0.44999999999999996,0.15,100.0,0.32891881280986834
125,8,0.44999999999999996,0.44999999999999996,20.0,0.3917409158543545
126,8,0.44999999999999996,0.44999999999999996,40.0,0.3882831689680475
127,8,0.44999999999999996,0.44999999999999996,60.0,0.4218008423182984
128,8,0.44999999999999996,0.44999999999999996,80.0,0.41197954679130244
129,8,0.44999999999999996,0.44999999999999996,100.0,0.357217380697788
130,8,0.44999999999999996,0.7499999999999999,20.0,0.45252563873978924
131,8,0.44999999999999996,0.7499999999999999,40.0,0.4239235615026592
132,8,0.44999999999999996,0.7499999999999999,60.0,0.39233960384940936
133,8,0.44999999999999996,0.7499999999999999,80.0,0.4085869355546793
134,8,0.44999999999999996,0.7499999999999999,100.0,0.3845710605117727
