Topics,Alpha,Beta,Unnamed: 0,Validation_Set,Coherence
4,symmetric,0.9099999999999999,218,4,0.3341141839397265
4,symmetric,symmetric,219,4,0.3179519770466086
5,0.01,0.01,225,4,0.3398090476551805
5,0.01,0.31,226,4,0.346511145137486
5,0.01,0.61,227,4,0.410587500639519
5,0.01,0.9099999999999999,228,4,0.4979420878138382
5,0.01,symmetric,229,4,0.3570868795416387
5,0.31,0.01,230,4,0.3311572341649428
5,0.31,0.31,231,4,0.355620707713857
5,0.31,0.61,232,4,0.4098581218841748
5,0.31,0.9099999999999999,233,4,0.502024692032297
5,0.31,symmetric,234,4,0.3511943666815131
5,0.61,0.01,235,4,0.3573145466870978
5,0.61,0.31,236,4,0.3546532830699956
5,0.61,0.61,237,4,0.3329298710122092
5,0.61,0.9099999999999999,238,4,0.4687243947251842
5,0.61,symmetric,239,4,0.3191364325376069
5,0.9099999999999999,0.01,240,4,0.343912667101881
5,0.9099999999999999,0.31,241,4,0.3249030756357055
5,0.9099999999999999,0.61,242,4,0.3183561307533434
5,0.9099999999999999,0.9099999999999999,243,4,0.4104641356831366
5,0.9099999999999999,symmetric,244,4,0.3320597822751471
5,asymmetric,0.01,250,4,0.3262071983475199
5,asymmetric,0.31,251,4,0.3403724184977389
5,asymmetric,0.61,252,4,0.3432385698486183
5,asymmetric,0.9099999999999999,253,4,0.4397832627586203
5,asymmetric,symmetric,254,4,0.3475125530991677
5,symmetric,0.01,245,4,0.3366284895867756
5,symmetric,0.31,246,4,0.337994140138658
5,symmetric,0.61,247,4,0.4054660421470749
5,symmetric,0.9099999999999999,248,4,0.4925771654750981
5,symmetric,symmetric,249,4,0.353319562551991
6,0.01,0.01,255,4,0.3353323047157863
6,0.01,0.31,256,4,0.4240904145617015
6,0.01,0.61,257,4,0.4419757939681648
6,0.01,0.9099999999999999,258,4,0.3547947721983233
6,0.01,symmetric,259,4,0.3453489733927371
6,0.31,0.01,260,4,0.3591291553609679
6,0.31,0.31,261,4,0.3630826201088148
6,0.31,0.61,262,4,0.4365679796383257
6,0.31,0.9099999999999999,263,4,0.515657291103841
6,0.31,symmetric,264,4,0.3572735270956411
6,0.61,0.01,265,4,0.3348237196181086
6,0.61,0.31,266,4,0.3503931523609582
6,0.61,0.61,267,4,0.4019871699359463
6,0.61,0.9099999999999999,268,4,0.3954022699939592
6,0.61,symmetric,269,4,0.3607266698071876
6,0.9099999999999999,0.01,270,4,0.3366353763683906
6,0.9099999999999999,0.31,271,4,0.3685027556813292
6,0.9099999999999999,0.61,272,4,0.4126874488608787
6,0.9099999999999999,0.9099999999999999,273,4,0.3671214927406643
6,0.9099999999999999,symmetric,274,4,0.3362221384617772
6,asymmetric,0.01,280,4,0.3535054977694975
6,asymmetric,0.31,281,4,0.4046200102052952
6,asymmetric,0.61,282,4,0.4885381624908294
6,asymmetric,0.9099999999999999,283,4,0.4233519314178691
6,asymmetric,symmetric,284,4,0.3643002450975641
6,symmetric,0.01,275,4,0.350744894016798
6,symmetric,0.31,276,4,0.4022929612011316
6,symmetric,0.61,277,4,0.4437959020188027
6,symmetric,0.9099999999999999,278,4,0.4402310177173281
6,symmetric,symmetric,279,4,0.3555081259011845
7,0.01,0.01,285,4,0.3335356831050396
7,0.01,0.31,286,4,0.3805621163082217
7,0.01,0.61,287,4,0.3828415755935936
7,0.01,0.9099999999999999,288,4,0.512111780709653
7,0.01,symmetric,289,4,0.3472992887324118
7,0.31,0.01,290,4,0.3514605009702661
7,0.31,0.31,291,4,0.4289060878687185
7,0.31,0.61,292,4,0.409949428271798
7,0.31,0.9099999999999999,293,4,0.3812250591756613
7,0.31,symmetric,294,4,0.3396789282904217
7,0.61,0.01,295,4,0.3362527748923864
7,0.61,0.31,296,4,0.4109827146304196
7,0.61,0.61,297,4,0.4295616437496526
7,0.61,0.9099999999999999,298,4,0.4304471073723326
7,0.61,symmetric,299,4,0.3492352703836657
7,0.9099999999999999,0.01,300,4,0.3332150471959315
7,0.9099999999999999,0.31,301,4,0.3741491806584832
7,0.9099999999999999,0.61,302,4,0.403322338622305
7,0.9099999999999999,0.9099999999999999,303,4,0.462898399731701
7,0.9099999999999999,symmetric,304,4,0.3530472042605366
7,asymmetric,0.01,310,4,0.3467552043774252
7,asymmetric,0.31,311,4,0.3617579622470001
7,asymmetric,0.61,312,4,0.4478348286824117
7,asymmetric,0.9099999999999999,313,4,0.3835087525577459
7,asymmetric,symmetric,314,4,0.3683506688692345
7,symmetric,0.01,305,4,0.3515792979357769
7,symmetric,0.31,306,4,0.4005590054327115
7,symmetric,0.61,307,4,0.400234688653961
7,symmetric,0.9099999999999999,308,4,0.3953288142518703
7,symmetric,symmetric,309,4,0.3423693173479233
8,0.01,0.01,315,4,0.3538252907679856
8,0.01,0.31,316,4,0.4468142791631922
8,0.01,0.61,317,4,0.4271275083852567
